series,"08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025"
United States,80646,72190,73517,65920,127423,48738,42400,49861,54045,61576,60144,63398,60473,57153,59146,51786,53533,64066,60119,72078,73302,80782,77683,81561,77391,74726,74063,65054,85536,70363,60250,68833,72953,79308,75629,80058,75785,73144,76242,65001,76613,62189,61187,68335,70309,78461,77006,76978,74150,72470,70047,62520,69600,53956,49063,59026,59002,60660,57273,51775,30121
United States Clearances,35124,32147,31683,27913,61232,21437,19710,22982,23481,26071,26222,26699,26175,24512,25096,22288,22930,27320,26150,31359,30630,33653,33255,34276,34284,32218,31190,28296,28678,32156,28838,33249,33394,36432,35080,36836,36632,34560,34979,31553,31909,32088,31926,34795,34950,38060,36222,37872,36208,34901,34930,31383,30853,28652,26533,30562,30760,31381,28862,27550,15625
